omega	psi_star	H
2.0	0.21597	0.04664
2.02007	0.21648	0.04686
2.04013	0.21699	0.04708
2.0602	0.2175	0.04731
2.08027	0.21802	0.04753
2.10033	0.21854	0.04776
2.1204	0.21906	0.04799
2.14047	0.21959	0.04822
2.16054	0.22013	0.04846
2.1806	0.22066	0.04869
2.20067	0.2212	0.04893
2.22074	0.22175	0.04917
2.2408	0.2223	0.04942
2.26087	0.22285	0.04966
2.28094	0.2234	0.04991
2.301	0.22397	0.05016
2.32107	0.22453	0.05041
2.34114	0.2251	0.05067
2.3612	0.22567	0.05093
2.38127	0.22625	0.05119
2.40134	0.22683	0.05145
2.4214	0.22742	0.05172
2.44147	0.22801	0.05199
2.46154	0.22861	0.05226
2.48161	0.22921	0.05254
2.50167	0.22982	0.05282
2.52174	0.23043	0.0531
2.54181	0.23104	0.05338
2.56187	0.23166	0.05367
2.58194	0.23229	0.05396
2.60201	0.23292	0.05425
2.62207	0.23355	0.05455
2.64214	0.23419	0.05485
2.66221	0.23484	0.05515
2.68227	0.23549	0.05546
2.70234	0.23615	0.05577
2.72241	0.23681	0.05608
2.74247	0.23748	0.0564
2.76254	0.23815	0.05672
2.78261	0.23883	0.05704
2.80268	0.23952	0.05737
2.82274	0.24021	0.0577
2.84281	0.2409	0.05804
2.86288	0.24161	0.05837
2.88294	0.24232	0.05872
2.90301	0.24303	0.05907
2.92308	0.24376	0.05942
2.94314	0.24448	0.05977
2.96321	0.24522	0.06013
2.98328	0.24596	0.0605
3.00334	0.24671	0.06087
3.02341	0.24746	0.06124
3.04348	0.24823	0.06162
3.06355	0.249	0.062
3.08361	0.24977	0.06239
3.10368	0.25056	0.06278
3.12375	0.25135	0.06318
3.14381	0.25215	0.06358
3.16388	0.25295	0.06399
3.18395	0.25377	0.0644
3.20401	0.25459	0.06482
3.22408	0.25542	0.06524
3.24415	0.25626	0.06567
3.26421	0.2571	0.0661
3.28428	0.25796	0.06654
3.30435	0.25882	0.06699
3.32441	0.2597	0.06744
3.34448	0.26058	0.0679
3.36455	0.26147	0.06836
3.38462	0.26237	0.06884
3.40468	0.26327	0.06931
3.42475	0.26419	0.0698
3.44482	0.26512	0.07029
3.46488	0.26606	0.07079
3.48495	0.26701	0.07129
3.50502	0.26796	0.0718
3.52508	0.26893	0.07232
3.54515	0.26991	0.07285
3.56522	0.2709	0.07339
3.58528	0.2719	0.07393
3.60535	0.27291	0.07448
3.62542	0.27393	0.07504
3.64548	0.27497	0.07561
3.66555	0.27601	0.07618
3.68562	0.27707	0.07677
3.70569	0.27814	0.07736
3.72575	0.27922	0.07797
3.74582	0.28032	0.07858
3.76589	0.28143	0.0792
3.78595	0.28255	0.07983
3.80602	0.28368	0.08048
